reference	hypA	hypB	annotation
henri emmanuelli dire que on va devoir travailler plus tard	enri emmanueli euh dire que on va demar paer plus tard ou deseen dee	henri emmanuelli euh dire que on va devo parelle plus tard au dée e le	0.5
intouchables rapporte beaucoup	le sable rapporte beaucoup	intouchable rapporte beaucoup	0
intouchables rapporte beaucoup	intouchable rapporte beaucoup	le sable rapporte beaucoup	1
c' était l' info trafic avec green accres point com moteur de recherches immobilières sur internet	c' était l' info trafic avec grinac point com moteur de recherches immobilières sur internet	c' était l' info trafiqu avec grinag point com moteur de recherche immobilière sur internet	1
c' était l' info trafic avec green accres point com moteur de recherches immobilières sur internet	c' était l' info trafiqu avec grinag point com moteur de recherche immobilière sur internet	c' était l' info trafic avec grinac point com moteur de recherches immobilières sur internet	0
ce matin nous avons évidemment la fin du monde un festival de films sur l' apocalypse	ce matin nous avons évidemment à la fin du monde un festival de film sur l' apocalypse	ce matin nous avons évidemment la fin du monde un festival de films sur la poquettion	1
ce matin nous avons évidemment la fin du monde un festival de films sur l' apocalypse	ce matin nous avons évidemment la fin du monde un festival de films sur la poquettion	ce matin nous avons évidemment à la fin du monde un festival de film sur l' apocalypse	0
bonsoir anna cabana	le canada	bonsoir anna kabada	0
bonsoir anna cabana	bonsoir anna kabada	le canada	1
et il était vraiment je pense et c' est peut être aussi pour ça finalement que que	et il était vraiment je pense euh et c' est peut-être aussi pour ça finalement que que	et il était vraiment je pense euh t c' est peut-être aussi pour ça finalement que que	1
et il était vraiment je pense et c' est peut être aussi pour ça finalement que que	et il était vraiment je pense euh t c' est peut-être aussi pour ça finalement que que	et il était vraiment je pense euh et c' est peut-être aussi pour ça finalement que que	0
là en plus il fait des il fait des sorties qui sont pas genre rassembleuse	là en plus i(l) fait des il fait des sorties qui sont pas euh j' en rassembleuses euh	là en plus i(l) fait des i(l) fait des sorties qui sont pas euh gen(s rassembleuses euh	1
là en plus il fait des il fait des sorties qui sont pas genre rassembleuse	là en plus i(l) fait des i(l) fait des sorties qui sont pas euh gen(s rassembleuses euh	là en plus i(l) fait des il fait des sorties qui sont pas euh j' en rassembleuses euh	0
d' accord avec ça danielle schweisguth	d' accord avec ça euh daniel chosgoude	d' accord avec ça euh danièle chose boute	1
d' accord avec ça danielle schweisguth	d' accord avec ça euh danièle chose boute	d' accord avec ça euh daniel chosgoude	0
après quelques jours de cavale c' est aujourd'hui que les autorités espagnoles les ont extradés vers la france	après quelques jours de cavale euh c' est aujourd' hui que les autorités espagnoles les ont extradées vers la france	après quelques jours de caval euh c' est aujourd' hui que les autorités espagnoles les ont extradés vers la france	1
après quelques jours de cavale c' est aujourd'hui que les autorités espagnoles les ont extradés vers la france	après quelques jours de caval euh c' est aujourd' hui que les autorités espagnoles les ont extradés vers la france	après quelques jours de cavale euh c' est aujourd' hui que les autorités espagnoles les ont extradées vers la france	0
un double qui fait la fiereté de la chanteuse à un détail près	un double qui fait la fierté de la chanteuse àh en de tayreès	un double qui fait la fierté de la chanteuse a ein de teuil près	0
un double qui fait la fiereté de la chanteuse à un détail près	un double qui fait la fierté de la chanteuse a ein de teuil près	un double qui fait la fierté de la chanteuse àh en de tayreès	1
alors jean marie le guen	jean marie le bouche	alors-marie le guen	0
alors jean marie le guen	alors-marie le guen	jean marie le bouche	1
c' est c' est un modèle pour les femmes	c ça c' c' est un modèle pour les femmes	et ça c' est un modèle pour les femmes	0
c' est c' est un modèle pour les femmes	et ça c' est un modèle pour les femmes	c ça c' c' est un modèle pour les femmes	1
bon fin des citations	i enfin de la itation)	por fin de cissation	0
bon fin des citations	por fin de cissation	i enfin de la itation)	1
l' éventuelle montée en puissance de françois fillon	euh l' éventuelle montée en puissance de françois fillon	euh l' éventuel montée en puissance de françois fillon	1
l' éventuelle montée en puissance de françois fillon	euh l' éventuel montée en puissance de françois fillon	euh l' éventuelle montée en puissance de françois fillon	0
ken loach s' indigne	gan mo ceain dî	y a ne autre syndine	0
ken loach s' indigne	y a ne autre syndine	gan mo ceain dî	1
mais de quoi s' agit il sa directrice est mon invitée dans bfm story	mais de quoi s' agit-il sa directrice est mon invitée dans bfm story	mais de quoi s' agit-il sa directrice est mon invité dans bfm story	1
mais de quoi s' agit il sa directrice est mon invitée dans bfm story	mais de quoi s' agit-il sa directrice est mon invité dans bfm story	mais de quoi s' agit-il sa directrice est mon invitée dans bfm story	0
les obligations de permanence de soins	obligation de permanence de soins	les obligations de permanence de soin	0
les obligations de permanence de soins	les obligations de permanence de soin	obligation de permanence de soins	1
mais le dossier jean jé colonna il est épais comme ça il était épais comme ça	le dossier changer colonna il est épais comme ça il était épais comme ça	mais le dossier jean-gy colonna il ést épais comme ça il était épais comme ça	0
mais le dossier jean jé colonna il est épais comme ça il était épais comme ça	mais le dossier jean-gy colonna il ést épais comme ça il était épais comme ça	le dossier changer colonna il est épais comme ça il était épais comme ça	1
je crois qu' il reste en tout cas une référence pour beaucoup d' entre nous au sein de l' ump	euh je crois qu' il reste en tout cas une référence pour beaucoup d' entre nous euh au sein euh de l' ump	je crois qu' i(l) reste en tout cas une référence pour beaucoup d' entre nous euh au sein de l' ump	0
je crois qu' il reste en tout cas une référence pour beaucoup d' entre nous au sein de l' ump	je crois qu' i(l) reste en tout cas une référence pour beaucoup d' entre nous euh au sein de l' ump	euh je crois qu' il reste en tout cas une référence pour beaucoup d' entre nous euh au sein euh de l' ump	1
ensuite il faut voir quelle solution on apporte à cette difficulté là	ensuite il faut voir quelles solutions on apporte à cette difficulté là	euh ensuite il faut voir quelleles solution on apporte à cette difficulté-là	1
ensuite il faut voir quelle solution on apporte à cette difficulté là	euh ensuite il faut voir quelleles solution on apporte à cette difficulté-là	ensuite il faut voir quelles solutions on apporte à cette difficulté là	0
aussi les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	si les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	aussi les collectivités la cgt ne touche que les ménages que les français qui travaillent ou qui sont retraités	0
aussi les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	aussi les collectivités la cgt ne touche que les ménages que les français qui travaillent ou qui sont retraités	si les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	1
c' est vrai que selon vous c' est excessif cent soixante neuf millions d' euros pour un seul homme	est vrai que selon vous c' est excessif cent soixante neuf millions d' euros pour un seul homme	c' est vrai que selon vous c' est excessifeuh cent soixante neuf millions d' euros pour un seul homme	0
c' est vrai que selon vous c' est excessif cent soixante neuf millions d' euros pour un seul homme	c' est vrai que selon vous c' est excessifeuh cent soixante neuf millions d' euros pour un seul homme	est vrai que selon vous c' est excessif cent soixante neuf millions d' euros pour un seul homme	1
il y a la taxe oui bon	bien à la tasse oui mais	il y a la tâce ouib	0
il y a la taxe oui bon	il y a la tâce ouib	bien à la tasse oui mais	1
qui est un aciériste un industriel qui n' est pas un financier	c' est un aciéristes un industriel qui n' est pas un financier	qui est un assiériste un industriel qui n' est pas un financier	1
qui est un aciériste un industriel qui n' est pas un financier	qui est un assiériste un industriel qui n' est pas un financier	c' est un aciéristes un industriel qui n' est pas un financier	0
en soixante huit c' était même pas inventé on connaissait pas ces vélos là	en soixante huit sept m même pas inventé on connaissait pas ces vélos larmes	euh en soixante huit c' était même pas inventé on connaissait pas ces véloos-là	0
en soixante huit c' était même pas inventé on connaissait pas ces vélos là	euh en soixante huit c' était même pas inventé on connaissait pas ces véloos-là	en soixante huit sept m même pas inventé on connaissait pas ces vélos larmes	1
tous ceux qui critiquent extrêmement facilement j' ai envie de leur dire faites en le quart	ceux qui critiquent extrêmement facilement j' ai envie de vous faites dans le cas	tout ce qui écritie extrêmement facilement j' envius de vois dire faites dans le cas	1
tous ceux qui critiquent extrêmement facilement j' ai envie de leur dire faites en le quart	tout ce qui écritie extrêmement facilement j' envius de vois dire faites dans le cas	ceux qui critiquent extrêmement facilement j' ai envie de vous faites dans le cas	0
moi ce que je vous propose c' est que on ait un bref un bref tour	ce que je vous propose c' est que on est un bref euh à bref tour	ce que je vous propose c' est que on ait un bref euhhm un bref tour	0
moi ce que je vous propose c' est que on ait un bref un bref tour	ce que je vous propose c' est que on ait un bref euhhm un bref tour	ce que je vous propose c' est que on est un bref euh à bref tour	1
est ce le long de la frontière avec la turquie le lyban ou bien l' irak	s le long de la frontière avec la turquie le liban ou bien l' irak	est-ce le long de la frontière avec la turquie le liban ou bien l' irak	0
est ce le long de la frontière avec la turquie le lyban ou bien l' irak	est-ce le long de la frontière avec la turquie le liban ou bien l' irak	s le long de la frontière avec la turquie le liban ou bien l' irak	1
j' ai regardé partout en me disant quoi il s' est vraiment passé des choses incroyables	regardez partout en me disant quoi il s' est vraiment passé des choses incroyables	j' ai regardé partout en me disant cours il s' est vraiment passé des choses incroyables	1
j' ai regardé partout en me disant quoi il s' est vraiment passé des choses incroyables	j' ai regardé partout en me disant cours il s' est vraiment passé des choses incroyables	regardez partout en me disant quoi il s' est vraiment passé des choses incroyables	0
en fait le le le la rumeur l' information de sa maladie commençait à courir les rédactions	en fait le le le la rumeur l' information al ani commence à courir les rédactions	euh en fait le le le le le la rumeur l' information de tamani commence à courir les rédactions	1
en fait le le le la rumeur l' information de sa maladie commençait à courir les rédactions	euh en fait le le le le le la rumeur l' information de tamani commence à courir les rédactions	en fait le le le la rumeur l' information al ani commence à courir les rédactions	0
mais qui risque demain d' avoir des difficultés pour l' entreprise ou autre	mais qui risque demain d' avoir des difficultés pour l' entreprise de hautre	mais qui risque demain d' avoir des difficultés pour l' entreprise et hautre	0
mais qui risque demain d' avoir des difficultés pour l' entreprise ou autre	mais qui risque demain d' avoir des difficultés pour l' entreprise et hautre	mais qui risque demain d' avoir des difficultés pour l' entreprise de hautre	1
après la remontée de nicolas sarkozy au moment de l' affaire merah	euh après la remontée de nicolas sarkozy au moment de l' a fermera	euh après la remontée de nicolas sarkozy au moment de l' affermera	0
après la remontée de nicolas sarkozy au moment de l' affaire merah	euh après la remontée de nicolas sarkozy au moment de l' affermera	euh après la remontée de nicolas sarkozy au moment de l' a fermera	1
la compagnie veut proposer des incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer des incitations financières à ces pilote pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer des incitations financières à ces pilotes pour les faire travailler au sein de sa filiale transavia	0
la compagnie veut proposer des incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer des incitations financières à ces pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer des incitations financières à ces pilote pour les faire travailler au sein de sa filiale transavia	1
aux biens non ce constat	combien en ce constat	tôt bien enant ce constat	1
aux biens non ce constat	tôt bien enant ce constat	combien en ce constat	0
d' une façon délibérée	une fa çon délibéréée	an une façon délibéré	0.5
d' une façon délibérée	an une façon délibéré	une fa çon délibéréée	0.5
filet de sécurité maintenu	il est de sécurité maintenu euh	filet de sécurité maintenu euh	0
filet de sécurité maintenu	filet de sécurité maintenu euh	il est de sécurité maintenu euh	1
les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche les écologistes voulons revenir là dessus	les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche ou les écologistes voulons revenir là dessus	les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche les écologistes nous voulons revenir là-dessus	0
les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche les écologistes voulons revenir là dessus	les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche les écologistes nous voulons revenir là-dessus	les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche ou les écologistes voulons revenir là dessus	1
un double qui fait la fiereté de la chanteuse à un détail près	un double qui fait la fierté de la chanteuse àh en de tayreès	un double qui fait la fierté de la chanteuse à un de deuil près	0
un double qui fait la fiereté de la chanteuse à un détail près	un double qui fait la fierté de la chanteuse à un de deuil près	un double qui fait la fierté de la chanteuse àh en de tayreès	1
mais qui est français	mais qui es français	iquée français	1
mais qui est français	iquée français	mais qui es français	0
et quand on vous dit que les fans sont prêtes à tout c' est vraiment prêtes à tout	quand on vous dit que les femmes sont prêtes à tout c' est vraiment tout	et quand on vous dit que les fans sont prêtes à tout c' est vraiment prête à tout	0
et quand on vous dit que les fans sont prêtes à tout c' est vraiment prêtes à tout	et quand on vous dit que les fans sont prêtes à tout c' est vraiment prête à tout	quand on vous dit que les femmes sont prêtes à tout c' est vraiment tout	1
on l' avait vu s' essayer au théâtre et au cinéma	l' avait vu s' essayer au théâtre et au cinéma	on l avait vu s' essayer au théâtre et au cinéma	0
on l' avait vu s' essayer au théâtre et au cinéma	on l avait vu s' essayer au théâtre et au cinéma	l' avait vu s' essayer au théâtre et au cinéma	1
à condition aussi que ces hommes que l' armée utilise ces armes	condisition aussi que euh ces hommes que l' armée euh euh utilise ces armes	condition aussi que euh ces hommes qui l' armée euh euh utilisent ces armes	0
à condition aussi que ces hommes que l' armée utilise ces armes	condition aussi que euh ces hommes qui l' armée euh euh utilisent ces armes	condisition aussi que euh ces hommes que l' armée euh euh utilise ces armes	1
non seulement elle a pas diminué le millefeuille mais elle l' a augmenté en créant les métropoles	non seulement elle a pas diminué le mille faille mais elle l' a augmenté en créant les métropoles	non seulement elle a pas diminué le mélecei mais elle l' a augmenté en créant les métropoles	1
non seulement elle a pas diminué le millefeuille mais elle l' a augmenté en créant les métropoles	non seulement elle a pas diminué le mélecei mais elle l' a augmenté en créant les métropoles	non seulement elle a pas diminué le mille faille mais elle l' a augmenté en créant les métropoles	0
à jacques chirac qui peut être vous en souvenez vous en quatre vingt un	jacques chirac qui peut est vous en souvenez vous en quatre vingt un	à jacques chicarac qui peut-être vous en souvenez-vous en quatre-vingt un	0
à jacques chirac qui peut être vous en souvenez vous en quatre vingt un	à jacques chicarac qui peut-être vous en souvenez-vous en quatre-vingt un	jacques chirac qui peut est vous en souvenez vous en quatre vingt un	1
parce que tout va aller très vite	parce que tout va arriler très vite	parce que tout le mari est très bien	1
parce que tout va aller très vite	parce que tout le mari est très bien	parce que tout va arriler très vite	0
donc eh bien on imagine la suite avec l' avènement du printemps arabe	donc euh eh bien on a i manégine la suite avec l' avènement du printemps arabe	donc euh eh bien on almanigine la suite avec l' évènement du printemps arabe	1
donc eh bien on imagine la suite avec l' avènement du printemps arabe	donc euh eh bien on almanigine la suite avec l' évènement du printemps arabe	donc euh eh bien on a i manégine la suite avec l' avènement du printemps arabe	0
sarkozy et on a limite quoi qu' il dise actuellement ça ne passe pas sauf ceux naturellement qui sont	sarkozy y an en a limite quoi qu' ils disent actuellement ça ne passe pas souss naturellement qui sont	sarkozy y e en alimique quoi qu' il dise actuellement ça ne passe pas sous se naturlement qui sont	1
sarkozy et on a limite quoi qu' il dise actuellement ça ne passe pas sauf ceux naturellement qui sont	sarkozy y e en alimique quoi qu' il dise actuellement ça ne passe pas sous se naturlement qui sont	sarkozy y an en a limite quoi qu' ils disent actuellement ça ne passe pas souss naturellement qui sont	0
et on voit aujourd'hui où se trouve la grèce alors justement est ce que c' est un business rentable	et on voit aujourd' hui où se trouve la grèce alors justement est-ce que c' est un business rentable	on voit eu e fran en e es le eu ous se trou le le re se e le juste ment se le c es un das es ren table	1
et on voit aujourd'hui où se trouve la grèce alors justement est ce que c' est un business rentable	on voit eu e fran en e es le eu ous se trou le le re se e le juste ment se le c es un das es ren table	et on voit aujourd' hui où se trouve la grèce alors justement est-ce que c' est un business rentable	0
si l' on regarde dit il les engagements mirobolants de quatre vingt un quatre vingt quinze	si l' on regarde dit-il les engagements mir au bolan de quatre-vingt un quatre-vingt quinze	si l' on regarde dit-il les engagements miro bolland de quatre-vingt n quatre-vingt quinze	1
si l' on regarde dit il les engagements mirobolants de quatre vingt un quatre vingt quinze	si l' on regarde dit-il les engagements miro bolland de quatre-vingt n quatre-vingt quinze	si l' on regarde dit-il les engagements mir au bolan de quatre-vingt un quatre-vingt quinze	0
hollande a eu du mal à démarrer si je puis dire et après on n' a pas pu l' arrêter	euh hollande a eu du mal à démarrer si je puis dire et après i() on a pas pu l' arrêter	euh hollande a eu du mal à démarrer si je puis dire et après i() on ' a pas pu l' arrêter	1
hollande a eu du mal à démarrer si je puis dire et après on n' a pas pu l' arrêter	euh hollande a eu du mal à démarrer si je puis dire et après i() on ' a pas pu l' arrêter	euh hollande a eu du mal à démarrer si je puis dire et après i() on a pas pu l' arrêter	0
de sa grand mère ça c' est vraiment c' est c' était ses mots	de sa grand-mère ça c' est vraiment ce c' était ces mots	c' est sa grand-mère ça c' est vraiment c' est c' était ses mots	0
de sa grand mère ça c' est vraiment c' est c' était ses mots	c' est sa grand-mère ça c' est vraiment c' est c' était ses mots	de sa grand-mère ça c' est vraiment ce c' était ces mots	1
c' était l' événement hier soir à paris ils attendaient tous depuis	était l' événement hier soir à paris ils attendaient tous depuis	c' était l' évènement hier soir à paris ils attendaient tous depuis	0
c' était l' événement hier soir à paris ils attendaient tous depuis	c' était l' évènement hier soir à paris ils attendaient tous depuis	était l' événement hier soir à paris ils attendaient tous depuis	1
des filles hystériques	défi hysté	défil hystériques	0
des filles hystériques	défil hystériques	défi hysté	1
enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qu' ils payent là	enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qu' il payent là euh	enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qui payent là euh	1
enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qu' ils payent là	enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qui payent là euh	enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qu' il payent là euh	0
heureusement qu' on l' a beaucoup réduit	on a beaucoup réduit	donc deuxoi l' a beaucoup réduit	1
heureusement qu' on l' a beaucoup réduit	donc deuxoi l' a beaucoup réduit	on a beaucoup réduit	0
bien évidemment bien évidemment	bien évide bien évidemment euh	bien évidemment bien évidemment eun	0
bien évidemment bien évidemment	bien évidemment bien évidemment eun	bien évide bien évidemment euh	1
il ne faut pas s' s' en étonner	il ne faut pas s' en étonner	il ne faut pas s()) s' en étonner	1
il ne faut pas s' s' en étonner	il ne faut pas s()) s' en étonner	il ne faut pas s' en étonner	0
nous sommes tous fiers du travail que nous avons fait avec l' ancien président de la république	euh nous sommes tous fiers du travail que nous avons fait avec l' ancien président de la république	nous sommes touche fiers du travail que nous avons fait avec l' ancien président de la république	1
nous sommes tous fiers du travail que nous avons fait avec l' ancien président de la république	nous sommes touche fiers du travail que nous avons fait avec l' ancien président de la république	euh nous sommes tous fiers du travail que nous avons fait avec l' ancien président de la république	0
avec cinquante six pour cent des voix céline bracq bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pour cent des voix céline bragg bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pourcent des voix céline brague bonjour vous êtes directrice adjointe de bva françois hollande progresse	1
avec cinquante six pour cent des voix céline bracq bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pourcent des voix céline brague bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pour cent des voix céline bragg bonjour vous êtes directrice adjointe de bva françois hollande progresse	0
bonsoir catherine frot	bonsoir catherine fro	bonsoir catherine fraud	1
bonsoir catherine frot	bonsoir catherine fraud	bonsoir catherine fro	0
or le dirigeant de cosmos lui même quand il a été interrogé en novembre deux mille onze	or le dirigeant de kosmos lui-même quand il a été interrogé en novembre deux mille onze	or le dirigeant de cosmos lui-même quand il a été interrogé en novembre deux milles onze	0
or le dirigeant de cosmos lui même quand il a été interrogé en novembre deux mille onze	or le dirigeant de cosmos lui-même quand il a été interrogé en novembre deux milles onze	or le dirigeant de kosmos lui-même quand il a été interrogé en novembre deux mille onze	1
il me manque une direction	qu' une direction	maintenant qu' une direction	1
il me manque une direction	maintenant qu' une direction	qu' une direction	0
box office ko	boxophioscao	box ofuc chaos	0
box office ko	box ofuc chaos	boxophioscao	1
du mandat de la banque centrale européenne à lui maintenant de dire quand comment	du mandat de la banque centrale européenne à lui euh maintenant de dire quand comment euh	du mondat de la banque centrale européenne à lui euh maintenant de dire quand comment euh	1
du mandat de la banque centrale européenne à lui maintenant de dire quand comment	du mondat de la banque centrale européenne à lui euh maintenant de dire quand comment euh	du mandat de la banque centrale européenne à lui euh maintenant de dire quand comment euh	0
activité très concurrencée par les allemands	activité très concurrenté évidemment par les allemands	activité très concurrente a vi dame par les allemands	1
activité très concurrencée par les allemands	activité très concurrente a vi dame par les allemands	activité très concurrenté évidemment par les allemands	0
oui imaginez aujourd'hui celui qui a peut être vu sortir le tueur casqué du magasin	oui imaginer aujourd' hui celui qui a peut-être vu sortir le tueur casquet du magasin	oui imaginez aujourd' hui celui qui a peut-être vu sortir le tueur casse qu est du magasin	1
oui imaginez aujourd'hui celui qui a peut être vu sortir le tueur casqué du magasin	oui imaginez aujourd' hui celui qui a peut-être vu sortir le tueur casse qu est du magasin	oui imaginer aujourd' hui celui qui a peut-être vu sortir le tueur casquet du magasin	0
rassemblant des personnalités politiques magistrats policiers journalistes intellectuels et même mes chers collègues et même des parents de victimes	rassemblant des personnalités politiques magistrat policiers journalistes intellectuelles et même mes chers collègues et même des parents de victimes	rassemblant des personnalités politiques magistrat policiers journalistes intellectuels et même mes chers collègues et même des parents de victimes	0
rassemblant des personnalités politiques magistrats policiers journalistes intellectuels et même mes chers collègues et même des parents de victimes	rassemblant des personnalités politiques magistrat policiers journalistes intellectuels et même mes chers collègues et même des parents de victimes	rassemblant des personnalités politiques magistrat policiers journalistes intellectuelles et même mes chers collègues et même des parents de victimes	1
oui c' est déjà la douche froide et puis et puis les records	oui c' est la douche froide et puis puis les records	ben oui c' est déjà la douche froide et puis et puis les records euh	0
oui c' est déjà la douche froide et puis et puis les records	ben oui c' est déjà la douche froide et puis et puis les records euh	oui c' est la douche froide et puis puis les records	1
une place de la bastille pleine à craquer	une place de la bast pleine à craquer	une place de la bastille pleine accraquée	0
une place de la bastille pleine à craquer	une place de la bastille pleine accraquée	une place de la bast pleine à craquer	1
françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos à dos	françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos a do	françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos ado	1
françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos à dos	françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos ado	françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos a do	0
parce que tout va aller très vite	est ce que tout va aller très vite	parce que tout va arrive très vite	0
parce que tout va aller très vite	parce que tout va arrive très vite	est ce que tout va aller très vite	1
il a suivi la	est assimilé	i je suis mis	1
il a suivi la	i je suis mis	est assimilé	0
non le bobo	non le beau mout	non le beaucoup	0
non le bobo	non le beaucoup	non le beau mout	1
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement euh de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	0
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement euh de nicolas sarkozy	1
qui avait rassemblé plus de vingt millions de personnes jean baptiste prédali bonjour	avait rassemblé plus de vingt millions de personnes jean baptiste prédali bonjour	qui avait rassemblé plus de vingt millions de personnes jean-baptiste prédali bonjour	0
qui avait rassemblé plus de vingt millions de personnes jean baptiste prédali bonjour	qui avait rassemblé plus de vingt millions de personnes jean-baptiste prédali bonjour	avait rassemblé plus de vingt millions de personnes jean baptiste prédali bonjour	1
c' est extraordinaire de vivre ça	c' est extraordinaire de vivre ça et c' est des extraordin b	c' est extraordinaire de vivre ça esttra	0
c' est extraordinaire de vivre ça	c' est extraordinaire de vivre ça esttra	c' est extraordinaire de vivre ça et c' est des extraordin b	1
plus proche aussi de la pop internationale	le proche aussi de la pop internationale	plus proche aussi de la propre internationale	1
plus proche aussi de la pop internationale	plus proche aussi de la propre internationale	le proche aussi de la pop internationale	0
l' actualité aujourd'hui ce sont également les européens mobilisés contre l' austérité	l' actualité aujourd' hui ce sont également les européens mobilisés contre l' austérité	l' actualité aujourd' hui ce sont également les européens mobilisés contre l' auscérité	1
l' actualité aujourd'hui ce sont également les européens mobilisés contre l' austérité	l' actualité aujourd' hui ce sont également les européens mobilisés contre l' auscérité	l' actualité aujourd' hui ce sont également les européens mobilisés contre l' austérité	0
il y a une résignation alors y a des manifestations mais est ce que y a un plan b	il y a une résignation alors il y a des manifestations mais est-ce que il y a un plan bé	il y a une rédignation alors il y a des manifestations mais est-ce que il y a un plan b	1
il y a une résignation alors y a des manifestations mais est ce que y a un plan b	il y a une rédignation alors il y a des manifestations mais est-ce que il y a un plan b	il y a une résignation alors il y a des manifestations mais est-ce que il y a un plan bé	0
on on on s' est on on on le voit il y a des études extrêmement poussées qui montrent	euh on on on s' est on on on le voit il y a des études extrêmement poussées qui montrent	euh on on on s' est on on on le voit y a des études extrêmement poussées qui montrent	1
on on on s' est on on on le voit il y a des études extrêmement poussées qui montrent	euh on on on s' est on on on le voit y a des études extrêmement poussées qui montrent	euh on on on s' est on on on le voit il y a des études extrêmement poussées qui montrent	0
le peuple de france	pas de france	le pape de france	0
le peuple de france	le pape de france	pas de france	1
je représente la gauche raisonnable	jees représente la gauche raisonnable	je représsante la gauche raisonnable	0
je représente la gauche raisonnable	je représsante la gauche raisonnable	jees représente la gauche raisonnable	1
ça n' a rien à voir c' est des histoires de contrat du service public	e n vai rien avoir c' est le des ees de on er a du service public	de a e vor ea a voi e le de e e e e de e a du ser vi e e e ei li	1
ça n' a rien à voir c' est des histoires de contrat du service public	de a e vor ea a voi e le de e e e e de e a du ser vi e e e ei li	e n vai rien avoir c' est le des ees de on er a du service public	0
le clip de l' apocalypse	le cype de l' apocalypse	le cit de l' apocalype	1
le clip de l' apocalypse	le cit de l' apocalype	le cype de l' apocalypse	0
infléchi ou est ce qu' il a	ici ou est ce qu' il a	unen fléchi ou est-ce qu' il a	0
infléchi ou est ce qu' il a	unen fléchi ou est-ce qu' il a	ici ou est ce qu' il a	1
que pour revenir à l' équilibre il faut	pour revenir à l' équilibre ifa	que pour revenir à l' équilibre i(l) fa	0
que pour revenir à l' équilibre il faut	que pour revenir à l' équilibre i(l) fa	pour revenir à l' équilibre ifa	1
parle avec une certaine hauteur de vue	euh parlet avec une certaine hauteur de vue	euh parle avec une certaine hauteur de vue	0
parle avec une certaine hauteur de vue	euh parle avec une certaine hauteur de vue	euh parlet avec une certaine hauteur de vue	1
on là on va mettre une demie heure un professeur et trente enfants	là on va mettre une demi heure au vent un professeur et trente enfants	on l' a on va mettre une demi-heure on va un professeur et trente enfants	0
on là on va mettre une demie heure un professeur et trente enfants	on l' a on va mettre une demi-heure on va un professeur et trente enfants	là on va mettre une demi heure au vent un professeur et trente enfants	1
le donc pas de cravate le le week end prochain	tout de même pas cravate le le week end prochain	le ne pas de tralat le le week-end prochain	1
le donc pas de cravate le le week end prochain	le ne pas de tralat le le week-end prochain	tout de même pas cravate le le week end prochain	0
la plus grosse difficulté dans notre discipline c' est les qualifications elles sont très rudes	la plus grosse difficulté dans une discipline c' est les qualifications sont très rude	la plus grosse difficulté dans de discipline c' est les qualifications euh elles sont très rudes	0
la plus grosse difficulté dans notre discipline c' est les qualifications elles sont très rudes	la plus grosse difficulté dans de discipline c' est les qualifications euh elles sont très rudes	la plus grosse difficulté dans une discipline c' est les qualifications sont très rude	1
parce que ces hommes sont sans chiffres	parce que ces hommes sont sans chiffre	parce que ces armes sont sans chiffres	1
